average_frametime_ms,23.951
frame,timestamp_ms,frametime_ms
44,15276,21.000
45,15297,21.000
46,15318,21.000
47,15340,22.000
0,15362,22.000
1,15384,22.000
2,15404,20.000
3,15425,21.000
4,15447,22.000
5,15468,21.000
6,15489,21.000
7,15510,21.000
8,15531,21.000
9,15553,22.000
10,15575,22.000
11,15596,21.000
12,15617,21.000
13,15638,21.000
14,15660,22.000
15,15682,22.000
16,15703,21.000
17,15724,21.000
18,15745,21.000
19,15767,22.000
20,15789,22.000
21,15811,22.000
22,15832,21.000
23,15852,20.000
24,15874,22.000
25,15894,20.000
26,15916,22.000
27,15937,21.000
28,15959,22.000
29,15981,22.000
30,16002,21.000
31,16024,22.000
32,16045,21.000
33,16066,21.000
34,16088,22.000
35,16109,21.000
36,16130,21.000
37,16151,21.000
38,16173,22.000
39,16334,161.000
40,17326,992.000
0,18324,998.000
1,19327,1003.000
0,20322,995.000
1,21043,721.000
0,21062,19.000
1,21084,22.000
2,21106,22.000
3,21128,22.000
4,21148,20.000
5,21168,20.000
6,21189,21.000
7,21209,20.000
8,21230,21.000
9,21250,20.000
10,21270,20.000
11,21291,21.000
12,21312,21.000
13,21332,20.000
14,21353,21.000
15,21373,20.000
16,21394,21.000
17,21414,20.000
18,21433,19.000
19,21454,21.000
20,21474,20.000
21,21495,21.000
22,21516,21.000
23,21536,20.000
24,21557,21.000
25,21578,21.000
26,21599,21.000
27,21622,23.000
28,21643,21.000
29,21664,21.000
30,21685,21.000
31,21707,22.000
32,21728,21.000
33,21748,20.000
34,21769,21.000
35,21790,21.000
36,21811,21.000
37,21831,20.000
38,21852,21.000
39,21872,20.000
40,21893,21.000
41,21913,20.000
42,21934,21.000
43,21954,20.000
44,21977,23.000
45,21997,20.000
46,22018,21.000
47,22039,21.000
48,22060,21.000
0,22081,21.000
1,22101,20.000
2,22124,23.000
3,22146,22.000
4,22168,22.000
5,22189,21.000
6,22210,21.000
7,22231,21.000
8,22252,21.000
9,22275,23.000
10,22296,21.000
11,22317,21.000
12,22337,20.000
13,22357,20.000
14,22377,20.000
15,22397,20.000
16,22417,20.000
17,22438,21.000
18,22458,20.000
19,22478,20.000
20,22499,21.000
21,22519,20.000
22,22541,22.000
23,22562,21.000
24,22582,20.000
25,22603,21.000
26,22625,22.000
27,22645,20.000
28,22666,21.000
29,22686,20.000
30,22707,21.000
31,22728,21.000
32,22749,21.000
33,22770,21.000
34,22790,20.000
35,22812,22.000
36,22832,20.000
37,22853,21.000
38,22873,20.000
39,22894,21.000
40,22914,20.000
41,22935,21.000
42,22955,20.000
43,22975,20.000
44,22996,21.000
45,23016,20.000
46,23036,20.000
47,23056,20.000
48,23079,23.000
0,23101,22.000
1,23123,22.000
2,23144,21.000
3,23165,21.000
4,23185,20.000
5,23205,20.000
6,23225,20.000
7,23245,20.000
8,23266,21.000
9,23286,20.000
10,23307,21.000
11,23327,20.000
12,23347,20.000
13,23368,21.000
14,23389,21.000
15,23411,22.000
16,23431,20.000
17,23452,21.000
18,23473,21.000
19,23494,21.000
20,23515,21.000
21,23537,22.000
22,23558,21.000
23,23578,20.000
24,23600,22.000
25,23620,20.000
26,23641,21.000
27,23663,22.000
28,23683,20.000
29,23704,21.000
30,23724,20.000
31,23744,20.000
32,23766,22.000
33,23786,20.000
34,23807,21.000
35,23827,20.000
36,23848,21.000
37,23868,20.000
38,23888,20.000
39,23909,21.000
40,23929,20.000
41,23950,21.000
42,23970,20.000
43,23990,20.000
44,24010,20.000
45,24031,21.000
46,24052,21.000
47,24074,22.000
48,24095,21.000
0,24115,20.000
1,24135,20.000
2,24159,24.000
3,24179,20.000
4,24199,20.000
5,24220,21.000
6,24240,20.000
7,24262,22.000
8,24283,21.000
9,24304,21.000
10,24326,22.000
11,24347,21.000
12,24368,21.000
13,24390,22.000
14,24411,21.000
15,24434,23.000
16,24455,21.000
17,24477,22.000
18,24497,20.000
19,24519,22.000
20,24540,21.000
21,24561,21.000
22,24583,22.000
23,24604,21.000
24,24625,21.000
25,24646,21.000
26,24667,21.000
27,24688,21.000
28,24709,21.000
29,24731,22.000
30,24752,21.000
31,24773,21.000
32,24795,22.000
33,24817,22.000
34,24838,21.000
35,24859,21.000
36,24880,21.000
37,24901,21.000
38,24922,21.000
39,24943,21.000
40,24972,29.000
41,24996,24.000
42,25021,25.000
43,25046,25.000
44,25068,22.000
45,25090,22.000
46,25111,21.000
0,25133,22.000
1,25155,22.000
2,25176,21.000
3,25198,22.000
4,25220,22.000
5,25243,23.000
6,25265,22.000
7,25287,22.000
8,25309,22.000
9,25331,22.000
10,25353,22.000
11,25375,22.000
12,25396,21.000
13,25417,21.000
14,25439,22.000
15,25462,23.000
16,25483,21.000
17,25506,23.000
18,25527,21.000
19,25548,21.000
20,25570,22.000
21,25592,22.000
22,25614,22.000
23,25639,25.000
24,25663,24.000
25,25688,25.000
26,25711,23.000
27,25733,22.000
28,25754,21.000
29,25776,22.000
30,25798,22.000
31,25820,22.000
32,25843,23.000
33,25864,21.000
34,25886,22.000
35,25907,21.000
36,25929,22.000
37,25951,22.000
38,25974,23.000
39,25996,22.000
40,26017,21.000
41,26038,21.000
42,26059,21.000
43,26081,22.000
44,26103,22.000
45,26124,21.000
0,26146,22.000
1,26167,21.000
2,26188,21.000
3,26209,21.000
4,26231,22.000
5,26252,21.000
6,26273,21.000
7,26295,22.000
8,26316,21.000
9,26339,23.000
10,26360,21.000
11,26381,21.000
12,26402,21.000
13,26423,21.000
14,26445,22.000
15,26467,22.000
16,26488,21.000
17,26510,22.000
18,26531,21.000
19,26553,22.000
20,26574,21.000
21,26596,22.000
22,26617,21.000
23,26639,22.000
24,26661,22.000
25,26682,21.000
26,26704,22.000
27,26725,21.000
28,26746,21.000
29,26768,22.000
30,26789,21.000
31,26810,21.000
32,26831,21.000
33,26851,20.000
