average_frametime_ms,8.283
frame,timestamp_ms,frametime_ms
94,5972,8.000
95,5980,8.000
96,5989,9.000
97,5997,8.000
98,6005,8.000
99,6014,9.000
100,6022,8.000
101,6035,13.000
102,6043,8.000
103,6052,9.000
104,6060,8.000
105,6063,3.000
106,6072,9.000
107,6080,8.000
108,6089,9.000
109,6097,8.000
110,6105,8.000
111,6114,9.000
112,6122,8.000
113,6130,8.000
114,6139,9.000
115,6147,8.000
116,6155,8.000
117,6164,9.000
118,6172,8.000
119,6180,8.000
120,6188,8.000
121,6197,9.000
0,6199,2.000
1,6205,6.000
2,6219,14.000
3,6222,3.000
4,6230,8.000
5,6239,9.000
6,6247,8.000
7,6256,9.000
8,6264,8.000
9,6272,8.000
10,6281,9.000
11,6289,8.000
12,6297,8.000
13,6306,9.000
14,6314,8.000
15,6322,8.000
16,6331,9.000
17,6339,8.000
18,6347,8.000
19,6355,8.000
20,6364,9.000
21,6372,8.000
22,6380,8.000
23,6389,9.000
24,6397,8.000
25,6405,8.000
26,6415,10.000
27,6428,13.000
28,6435,7.000
29,6438,3.000
30,6447,9.000
31,6455,8.000
32,6464,9.000
33,6472,8.000
34,6481,9.000
35,6489,8.000
36,6497,8.000
37,6505,8.000
38,6514,9.000
39,6527,13.000
40,6530,3.000
41,6539,9.000
42,6547,8.000
43,6555,8.000
44,6564,9.000
45,6572,8.000
46,6580,8.000
47,6589,9.000
48,6597,8.000
49,6606,9.000
50,6614,8.000
51,6622,8.000
52,6636,14.000
53,6639,3.000
54,6647,8.000
55,6655,8.000
56,6664,9.000
57,6672,8.000
58,6685,13.000
59,6689,4.000
60,6697,8.000
61,6706,9.000
62,6714,8.000
63,6722,8.000
64,6731,9.000
65,6739,8.000
66,6747,8.000
67,6755,8.000
68,6764,9.000
69,6772,8.000
70,6781,9.000
71,6789,8.000
72,6797,8.000
73,6805,8.000
74,6814,9.000
75,6822,8.000
76,6830,8.000
77,6839,9.000
78,6847,8.000
79,6855,8.000
80,6864,9.000
81,6872,8.000
82,6880,8.000
83,6889,9.000
84,6897,8.000
85,6905,8.000
86,6914,9.000
87,6922,8.000
88,6930,8.000
89,6939,9.000
90,6947,8.000
91,6955,8.000
92,6964,9.000
93,6972,8.000
94,6985,13.000
95,6993,8.000
96,6997,4.000
97,7005,8.000
98,7014,9.000
99,7022,8.000
100,7030,8.000
101,7039,9.000
102,7047,8.000
103,7055,8.000
104,7064,9.000
105,7072,8.000
106,7080,8.000
107,7089,9.000
108,7097,8.000
109,7105,8.000
110,7114,9.000
111,7122,8.000
112,7130,8.000
113,7139,9.000
114,7152,13.000
115,7155,3.000
116,7164,9.000
117,7172,8.000
118,7180,8.000
119,7189,9.000
120,7197,8.000
0,7199,2.000
1,7205,6.000
2,7214,9.000
3,7222,8.000
4,7231,9.000
5,7244,13.000
6,7252,8.000
7,7256,4.000
8,7269,13.000
9,7272,3.000
10,7281,9.000
11,7289,8.000
12,7302,13.000
13,7305,3.000
14,7319,14.000
15,7327,8.000
16,7335,8.000
17,7339,4.000
18,7347,8.000
19,7356,9.000
20,7369,13.000
21,7372,3.000
22,7380,8.000
23,7389,9.000
24,7397,8.000
25,7405,8.000
26,7414,9.000
27,7422,8.000
28,7430,8.000
29,7439,9.000
30,7447,8.000
31,7460,13.000
32,7463,3.000
33,7472,9.000
34,7480,8.000
35,7489,9.000
36,7497,8.000
37,7505,8.000
38,7514,9.000
39,7522,8.000
40,7530,8.000
41,7539,9.000
42,7547,8.000
43,7556,9.000
44,7564,8.000
45,7572,8.000
46,7581,9.000
47,7589,8.000
48,7597,8.000
49,7606,9.000
50,7614,8.000
51,7622,8.000
52,7630,8.000
53,7639,9.000
54,7647,8.000
55,7655,8.000
56,7664,9.000
57,7672,8.000
58,7680,8.000
59,7689,9.000
60,7697,8.000
61,7705,8.000
62,7714,9.000
63,7722,8.000
64,7730,8.000
65,7739,9.000
66,7747,8.000
67,7755,8.000
68,7769,14.000
69,7772,3.000
70,7780,8.000
71,7789,9.000
72,7797,8.000
73,7805,8.000
74,7814,9.000
75,7822,8.000
76,7830,8.000
77,7839,9.000
78,7847,8.000
79,7856,9.000
80,7864,8.000
81,7872,8.000
82,7885,13.000
83,7889,4.000
84,7897,8.000
85,7905,8.000
86,7914,9.000
87,7927,13.000
88,7930,3.000
89,7938,8.000
90,7947,9.000
91,7955,8.000
92,7964,9.000
93,7972,8.000
94,7980,8.000
95,7988,8.000
96,7997,9.000
97,8005,8.000
98,8014,9.000
99,8022,8.000
100,8030,8.000
101,8038,8.000
102,8047,9.000
103,8055,8.000
104,8064,9.000
105,8072,8.000
106,8080,8.000
107,8089,9.000
108,8097,8.000
109,8105,8.000
110,8114,9.000
111,8122,8.000
112,8130,8.000
113,8139,9.000
114,8147,8.000
115,8155,8.000
116,8164,9.000
117,8172,8.000
118,8180,8.000
119,8189,9.000
120,8197,8.000
0,8200,3.000
1,8205,5.000
2,8214,9.000
3,8222,8.000
4,8236,14.000
5,8239,3.000
6,8247,8.000
7,8255,8.000
8,8264,9.000
9,8272,8.000
10,8280,8.000
11,8289,9.000
12,8297,8.000
13,8305,8.000
14,8314,9.000
15,8322,8.000
16,8330,8.000
17,8339,9.000
18,8347,8.000
19,8355,8.000
20,8364,9.000
21,8372,8.000
22,8380,8.000
23,8393,13.000
24,8397,4.000
25,8405,8.000
26,8414,9.000
27,8422,8.000
28,8430,8.000
29,8439,9.000
30,8447,8.000
31,8455,8.000
32,8464,9.000
33,8472,8.000
34,8480,8.000
35,8489,9.000
36,8497,8.000
37,8505,8.000
38,8514,9.000
39,8522,8.000
40,8530,8.000
41,8539,9.000
42,8547,8.000
43,8556,9.000
44,8564,8.000
45,8572,8.000
46,8580,8.000
47,8589,9.000
48,8597,8.000
49,8605,8.000
50,8614,9.000
51,8622,8.000
52,8630,8.000
53,8639,9.000
54,8647,8.000
55,8655,8.000
56,8664,9.000
57,8672,8.000
58,8680,8.000
59,8689,9.000
60,8702,13.000
61,8705,3.000
62,8714,9.000
63,8722,8.000
64,8731,9.000
65,8739,8.000
66,8747,8.000
67,8761,14.000
68,8764,3.000
69,8772,8.000
70,8781,9.000
71,8789,8.000
72,8797,8.000
73,8806,9.000
74,8814,8.000
75,8822,8.000
76,8830,8.000
77,8838,8.000
78,8847,9.000
79,8860,13.000
80,8863,3.000
81,8872,9.000
82,8880,8.000
83,8889,9.000
84,8897,8.000
85,8905,8.000
86,8914,9.000
87,8922,8.000
88,8930,8.000
89,8939,9.000
90,8947,8.000
91,8955,8.000
92,8964,9.000
93,8972,8.000
94,8980,8.000
95,8989,9.000
96,8997,8.000
97,9006,9.000
98,9019,13.000
99,9027,8.000
100,9035,8.000
101,9039,4.000
102,9047,8.000
103,9056,9.000
104,9064,8.000
105,9072,8.000
106,9081,9.000
107,9094,13.000
108,9097,3.000
109,9105,8.000
110,9114,9.000
111,9127,13.000
112,9130,3.000
113,9139,9.000
114,9147,8.000
115,9155,8.000
116,9168,13.000
117,9172,4.000
118,9180,8.000
119,9189,9.000
120,9197,8.000
0,9199,2.000
1,9205,6.000
2,9214,9.000
3,9222,8.000
4,9230,8.000
5,9239,9.000
6,9247,8.000
7,9256,9.000
8,9264,8.000
9,9272,8.000
10,9280,8.000
11,9289,9.000
12,9297,8.000
13,9305,8.000
14,9314,9.000
15,9327,13.000
16,9330,3.000
17,9339,9.000
18,9347,8.000
19,9355,8.000
20,9364,9.000
21,9372,8.000
22,9380,8.000
23,9389,9.000
24,9397,8.000
25,9405,8.000
26,9414,9.000
27,9422,8.000
28,9430,8.000
29,9439,9.000
30,9452,13.000
31,9455,3.000
32,9468,13.000
33,9472,4.000
34,9485,13.000
35,9489,4.000
36,9497,8.000
37,9505,8.000
38,9514,9.000
39,9522,8.000
40,9530,8.000
41,9539,9.000
42,9547,8.000
43,9555,8.000
44,9564,9.000
45,9572,8.000
46,9580,8.000
47,9589,9.000
48,9602,13.000
49,9605,3.000
50,9614,9.000
51,9622,8.000
52,9635,13.000
53,9638,3.000
54,9647,9.000
55,9655,8.000
56,9664,9.000
57,9672,8.000
58,9680,8.000
59,9689,9.000
60,9697,8.000
61,9705,8.000
62,9714,9.000
63,9722,8.000
64,9730,8.000
65,9739,9.000
66,9747,8.000
67,9755,8.000
68,9764,9.000
69,9772,8.000
70,9780,8.000
71,9793,13.000
72,9797,4.000
73,9805,8.000
74,9814,9.000
75,9822,8.000
76,9830,8.000
77,9839,9.000
78,9847,8.000
79,9855,8.000
80,9864,9.000
81,9872,8.000
82,9881,9.000
83,9889,8.000
84,9897,8.000
85,9905,8.000
86,9913,8.000
87,9922,9.000
88,9930,8.000
89,9938,8.000
90,9952,14.000
91,9955,3.000
92,9964,9.000
93,9972,8.000
94,9980,8.000
95,9989,9.000
96,9997,8.000
97,10005,8.000
98,10014,9.000
99,10027,13.000
100,10030,3.000
101,10039,9.000
102,10047,8.000
103,10055,8.000
104,10064,9.000
105,10072,8.000
106,10080,8.000
107,10089,9.000
108,10102,13.000
109,10105,3.000
110,10113,8.000
111,10122,9.000
112,10131,9.000
113,10139,8.000
114,10147,8.000
115,10155,8.000
116,10164,9.000
117,10172,8.000
118,10180,8.000
119,10189,9.000
120,10197,8.000
0,10200,3.000
1,10205,5.000
2,10213,8.000
3,10222,9.000
4,10230,8.000
5,10239,9.000
